categories,latitude,longitude,display_phone,phone,unique_id,unique_alias,image_url,is_closed,location,name,price,rating,recommended_review_count,unrecommended_review_count,url,transactions
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",47.5600625713343,-122.386938181065,(206) 923-0534,+12069230534,Bc0odaNt6wsRPzRQQ63QEw,bakery-nouveau-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/JizGW2lhc9-isRXiLP0J2Q/o.jpg,False,"{'address1': '4737 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4737 California Ave SW', 'Seattle, WA 98116']}",Bakery Nouveau,$,4.5,1510,198,https://www.yelp.com/biz/bakery-nouveau-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",47.56038,-122.38698,(206) 935-4339,+12069354339,XPoJa4sezeAu36-s_853Zw,mashiko-japanese-restaurant-and-sushi-bar-seattle,https://s3-media3.fl.yelpcdn.com/bphoto/fLcnZSGZig7RmS0fb5zVfA/o.jpg,False,"{'address1': '4725 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4725 California Ave SW', 'Seattle, WA 98116']}",Mashiko Japanese Restaurant & Sushi Bar,$$$,4.0,791,88,https://www.yelp.com/biz/mashiko-japanese-restaurant-and-sushi-bar-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['delivery', 'restaurant_reservation']"
"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",47.5622433,-122.3866417,(206) 402-3784,+12064023784,BeGo3TSuhF7fOv0dzp0s1g,pizzeria-credo-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/XM64DEiJ1hZPw8kU2s15gg/o.jpg,False,"{'address1': '4520 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4520 California Ave SW', 'Seattle, WA 98116']}",Pizzeria Credo,$$,4.5,510,86,https://www.yelp.com/biz/pizzeria-credo-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['pickup']
"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",47.56064,-122.38587333,(206) 492-5694,+12064925694,yMLSALRbwRNG9JsqRUAPGw,phoenecia-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/0SfuGwbxyvaL4IO2VQg_Zg/o.jpg,False,"{'address1': '4717 42nd Ave SW', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4717 42nd Ave SW', 'Seattle, WA 98116']}",Phoenecia,$$,4.5,449,76,https://www.yelp.com/biz/phoenecia-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['pickup', 'delivery', 'restaurant_reservation']"
"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}]",47.560230255127,-122.387199401855,(206) 937-2810,+12069372810,FW0tkJPbW6rIuPRbgKUdwg,husky-deli-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/nHyxD4mjTjf_xCNwMlRG6g/o.jpg,False,"{'address1': '4721 California Ave SW', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4721 California Ave SW', 'Seattle, WA 98116']}",Husky Deli,$,4.5,521,78,https://www.yelp.com/biz/husky-deli-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,[]
"[{'alias': 'thai', 'title': 'Thai'}]",47.564769,-122.377232,(206) 937-7676,+12069377676,Fnn8DbblPlC-gtiFTrUyEw,buddha-ruksa-seattle,https://s3-media4.fl.yelpcdn.com/bphoto/E5gB5QL9clEJJ-kADkgtxw/o.jpg,False,"{'address1': '3520 SW Genesee St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98126', 'country': 'US', 'state': 'WA', 'display_address': ['3520 SW Genesee St', 'Seattle, WA 98126']}",Buddha Ruksa,$$,4.0,994,114,https://www.yelp.com/biz/buddha-ruksa-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",47.5648,-122.38655,(206) 504-9510,+12065049510,Dr9CxgdePozHGwU4beaYGQ,ittos-tapas-seattle-4,https://s3-media4.fl.yelpcdn.com/bphoto/ptSZaCp5H6I_CJAYuAqzgQ/o.jpg,False,"{'address1': '4160 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4160 California Ave SW', 'Seattle, WA 98116']}",Itto's Tapas,$$$,4.5,348,38,https://www.yelp.com/biz/ittos-tapas-seattle-4?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",47.52058,-122.39058,(206) 937-5637,+12069375637,jJhGHh-cqH-6oWgno9KWnQ,endolyne-joes-seattle-2,https://s3-media3.fl.yelpcdn.com/bphoto/HjPYgLbYCh3Yf9QqPdpOug/o.jpg,False,"{'address1': '9261 45th Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98136', 'country': 'US', 'state': 'WA', 'display_address': ['9261 45th Ave SW', 'Seattle, WA 98136']}",Endolyne Joes,$$,3.5,585,69,https://www.yelp.com/biz/endolyne-joes-seattle-2?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",47.5636486287425,-122.386841379762,(206) 935-1075,+12069351075,gDAO-4m63svPUpii5b8kww,maono-seattle,https://s3-media1.fl.yelpcdn.com/bphoto/ajUjEwa2Q6ZeXwVg26X5wg/o.jpg,False,"{'address1': '4437 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4437 California Ave SW', 'Seattle, WA 98116']}",Ma'ono,$$,4.0,918,59,https://www.yelp.com/biz/maono-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",47.5605010986328,-122.38639831543,(206) 937-3463,+12069373463,xF5-wdhPYg7sYcwFOHQHIQ,talaricos-pizzeria-seattle,https://s3-media3.fl.yelpcdn.com/bphoto/9fym_6VeoovQEexUO_PIzQ/o.jpg,False,"{'address1': '4718 California Ave SW', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4718 California Ave SW', 'Seattle, WA 98116']}",Talarico's Pizzeria,$$,4.0,777,78,https://www.yelp.com/biz/talaricos-pizzeria-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
